Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/BPU_Profiler/incorrect_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/mispred_penalty_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/total_branches_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/correct_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hits_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_misses_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/instruction_completed_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/fetch_pc_debug[31:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/execution_cycles_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/penalty_counting_debug
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX
1301,1301,0,12494010,269963743,13775964,277768624,000000004ce313cf,257469734,39962900,39962900,262873925,302836824,257469733,000000004ce313d0,00004d20,000000005af85b24,000000005af85b23,0
1302,1302,0,12494010,269963744,13775964,277768624,000000004ce313d0,257469734,39962900,39962900,262873925,302836825,257469734,000000004ce313d1,00004d20,000000005af85b25,000000005af85b24,0
1303,1303,0,12494010,269963744,13775964,277768624,000000004ce313d1,257469734,39962900,39962900,262873925,302836825,257469734,000000004ce313d1,00004d20,000000005af85b25,000000005af85b25,0
1304,1304,0,12494010,269963744,13775964,277768624,000000004ce313d1,257469734,39962900,39962900,262873925,302836825,257469734,000000004ce313d2,00004d18,000000005af85b26,000000005af85b25,0
1305,1305,0,12494010,269963744,13775964,277768624,000000004ce313d2,257469734,39962900,39962900,262873925,302836825,257469734,000000004ce313d2,00004d1c,000000005af85b27,000000005af85b26,0
1306,1306,0,12494010,269963744,13775964,277768625,000000004ce313d2,257469735,39962900,39962900,262873926,302836825,257469734,000000004ce313d3,00004d20,000000005af85b28,000000005af85b27,0
1307,1307,0,12494010,269963745,13775964,277768625,000000004ce313d3,257469735,39962900,39962900,262873926,302836826,257469735,000000004ce313d4,00004d20,000000005af85b29,000000005af85b28,0
1308,1308,0,12494010,269963745,13775964,277768625,000000004ce313d4,257469735,39962900,39962900,262873926,302836826,257469735,000000004ce313d4,00004d20,000000005af85b29,000000005af85b29,0
1309,1309,0,12494010,269963745,13775964,277768625,000000004ce313d4,257469735,39962900,39962900,262873926,302836826,257469735,000000004ce313d5,00004d18,000000005af85b2a,000000005af85b29,0
1310,1310,0,12494010,269963745,13775964,277768625,000000004ce313d5,257469735,39962900,39962900,262873926,302836826,257469735,000000004ce313d5,00004d1c,000000005af85b2b,000000005af85b2a,0
